State,Account length,Area code,International plan,Voice mail plan,Number vmail messages,Total day minutes,Total day calls,Total day charge,Total eve minutes,Total eve calls,Total eve charge,Total night calls,Total night charge,Total intl minutes,Total intl calls,Total intl charge,Customer service calls,Churn,Total Charge
MO,22,408,No,Yes,14,199.1,100.0,33.85,221.8,103.0,18.85,91.0,2.96,4.2,1,1.13,1.0,False,36.81
NV,37,415,No,No,0,233.7,114.0,39.73,207.9,109.0,17.67,101.0,9.57,12.0,2,3.24,2.0,False,49.3
MA,51,415,No,No,0,183.1,99.0,31.13,160.1,107.0,13.61,121.0,14.03,7.0,3,1.89,1.0,False,45.16
NH,174,408,No,No,0,139.4,96.0,23.7,143.4,108.0,12.19,107.0,10.13,10.0,5,2.7,2.0,False,33.83
UT,68,415,No,No,0,213.9,112.0,36.36,260.5,100.0,22.14,97.0,10.52,8.4,3,2.27,1.0,True,46.879999999999995
FL,130,415,No,No,0,207.1,70.0,35.21,200.1,115.0,17.01,100.0,8.74,12.4,2,3.35,1.0,False,43.95
WA,104,415,No,No,0,139.7,78.0,23.75,202.6,119.0,17.22,102.0,9.16,11.3,5,3.05,2.0,False,32.91
CT,134,408,No,No,0,177.2,91.0,30.12,228.7,105.0,19.44,113.0,8.74,8.9,3,2.4,2.0,False,38.86
KY,108,415,No,Yes,35,169.8,136.0,28.87,173.7,101.0,14.76,105.0,9.66,9.5,7,2.57,2.0,False,38.53
NM,103,415,No,No,0,173.5,83.0,29.5,244.3,65.0,20.77,66.0,9.97,9.7,2,2.62,3.0,False,39.47
ND,62,510,No,No,0,159.9,100.0,27.18,172.2,99.0,14.64,109.0,11.84,5.6,4,1.51,1.0,False,39.019999999999996
NV,162,415,No,No,0,115.1,89.0,19.57,196.8,111.0,16.73,98.0,9.56,11.4,3,3.08,2.0,False,29.130000000000003
CA,93,510,No,Yes,19,136.8,113.0,23.26,179.5,105.0,15.26,95.0,3.2,12.5,3,3.38,2.0,False,26.46
ID,42,415,No,No,0,92.2,108.0,15.67,211.2,120.0,17.95,73.0,5.81,13.1,6,3.54,1.0,False,21.48
OK,155,415,No,Yes,23,243.9,112.0,41.46,133.0,106.0,11.31,123.0,9.62,13.4,11,3.62,2.0,False,51.08
IA,36,510,No,No,0,117.1,94.0,19.91,235.4,117.0,20.01,108.0,9.96,9.0,2,2.43,0.0,False,29.87
OH,143,415,No,No,0,223.3,99.0,37.96,167.1,128.0,14.2,84.0,9.14,4.5,4,1.22,0.0,True,47.1
NJ,197,510,No,No,0,154.8,111.0,26.32,171.5,102.0,14.58,86.0,10.23,10.6,2,2.86,3.0,False,36.55
IA,81,510,No,No,0,261.4,141.0,44.44,215.7,102.0,18.33,96.0,12.23,8.0,6,2.16,1.0,True,56.67
DE,138,510,Yes,No,0,46.5,104.0,7.91,186.0,114.0,15.81,95.0,7.54,9.6,4,2.59,4.0,True,15.45
CA,103,415,No,Yes,18,149.9,84.0,25.48,170.9,84.0,14.53,112.0,7.72,11.5,7,3.11,0.0,True,33.2
WY,127,510,Yes,No,0,242.2,102.0,41.17,226.1,80.0,19.22,96.0,11.34,13.9,5,3.75,2.0,True,52.510000000000005
OR,136,510,No,No,0,259.4,99.0,44.1,172.7,125.0,14.68,78.0,13.22,10.7,6,2.89,1.0,True,57.32
ME,99,415,No,No,0,222.4,102.0,37.81,185.8,89.0,15.79,81.0,10.7,12.0,8,3.24,2.0,False,48.510000000000005
AR,95,415,No,No,0,69.4,79.0,11.8,190.8,109.0,16.22,102.0,9.9,8.9,5,2.4,0.0,False,21.700000000000003
ME,118,408,Yes,Yes,21,156.5,122.0,26.61,209.2,125.0,17.78,81.0,7.14,11.1,3,3.0,4.0,True,33.75
WV,113,415,No,No,0,61.2,111.0,10.4,92.3,88.0,7.85,114.0,8.88,13.7,3,3.7,5.0,True,19.28
PA,128,408,Yes,No,0,245.2,112.0,41.68,101.5,101.0,8.63,116.0,6.85,10.7,5,2.89,0.0,False,48.53
HI,117,408,No,No,0,102.3,100.0,17.39,135.2,104.0,11.49,93.0,8.99,15.7,10,4.24,3.0,False,26.380000000000003
MT,48,415,No,Yes,36,230.9,92.0,39.25,167.6,121.0,14.25,87.0,12.15,7.6,4,2.05,3.0,False,51.4
DC,81,510,Yes,No,0,227.4,105.0,38.66,211.5,120.0,17.98,113.0,11.62,11.9,3,3.21,0.0,False,50.279999999999994
AR,57,510,No,No,0,192.8,68.0,32.78,158.0,86.0,13.43,105.0,10.6,12.7,6,3.43,1.0,False,43.38
MS,140,408,No,No,0,162.6,98.0,27.64,206.2,109.0,17.53,66.0,6.37,8.2,2,2.21,1.0,False,34.01
OH,107,510,No,Yes,38,219.4,92.0,37.3,180.5,73.0,15.34,91.0,4.68,11.0,1,2.97,2.0,False,41.98
MO,56,415,No,No,0,137.2,111.0,23.32,165.9,119.0,14.1,72.0,8.2,14.3,4,3.86,1.0,False,31.52
TX,159,415,No,No,0,87.7,103.0,14.91,278.2,97.0,23.65,93.0,7.68,10.5,10,2.84,1.0,False,22.59
MD,102,415,No,No,0,271.1,80.0,46.09,172.0,133.0,14.62,105.0,7.61,10.3,5,2.78,1.0,False,53.7
CT,107,408,No,No,0,103.4,94.0,17.58,189.3,125.0,16.09,125.0,10.22,14.4,3,3.89,1.0,False,27.799999999999997
SC,106,408,No,No,0,52.2,106.0,8.87,220.1,113.0,18.71,95.0,5.05,11.4,2,3.08,2.0,False,13.919999999999998
MI,225,415,No,No,0,165.4,106.0,28.12,273.7,109.0,23.26,93.0,9.45,8.7,3,2.35,0.0,True,37.57
SD,75,408,No,No,0,147.5,110.0,25.08,191.7,97.0,16.29,68.0,6.08,16.4,3,4.43,2.0,False,31.159999999999997
CO,86,415,No,No,0,217.8,93.0,37.03,214.7,95.0,18.25,70.0,10.29,11.3,7,3.05,0.0,False,47.32
ID,169,415,No,No,0,235.7,79.0,40.07,136.9,85.0,11.64,97.0,9.94,13.3,10,3.59,1.0,False,50.01
AZ,122,510,No,Yes,22,204.5,92.0,34.77,139.6,121.0,11.87,103.0,9.23,8.6,5,2.32,2.0,False,44.0
FL,106,408,No,No,0,178.4,143.0,30.33,247.0,123.0,21.0,105.0,11.7,9.6,2,2.59,0.0,False,42.03
MN,52,415,No,Yes,32,130.1,68.0,22.12,247.2,77.0,21.01,87.0,13.02,13.5,5,3.65,2.0,False,35.14
DE,79,415,No,Yes,34,103.7,100.0,17.63,236.3,78.0,20.09,102.0,11.55,14.8,4,4.0,2.0,False,29.18
MI,135,415,No,No,0,239.9,91.0,40.78,177.1,104.0,15.05,118.0,9.77,5.9,3,1.59,2.0,False,50.55
MS,70,408,No,No,0,148.4,110.0,25.23,267.1,90.0,22.7,101.0,6.82,8.9,4,2.4,0.0,False,32.05
MA,80,408,No,No,0,148.6,106.0,25.26,210.8,65.0,17.92,86.0,9.17,10.0,2,2.7,2.0,False,34.43
CA,37,415,No,No,0,191.1,69.0,32.49,129.2,113.0,10.98,117.0,9.34,12.9,1,3.48,0.0,False,41.83
MN,161,415,No,Yes,39,218.5,76.0,37.15,112.7,94.0,9.58,121.0,9.23,7.3,4,1.97,1.0,False,46.379999999999995
VT,137,510,No,No,0,97.5,95.0,16.58,195.8,82.0,16.64,78.0,13.0,0.0,0,0.0,1.0,False,29.58
CT,123,415,No,No,0,128.7,126.0,21.88,117.6,94.0,10.0,132.0,8.93,10.8,5,2.92,0.0,False,30.81
WV,80,415,No,Yes,38,236.6,69.0,40.22,197.5,68.0,16.79,102.0,9.43,9.5,10,2.57,2.0,False,49.65
WV,94,415,No,No,0,85.9,113.0,14.6,226.7,91.0,19.27,110.0,12.58,15.6,16,4.21,0.0,False,27.18
NE,105,415,No,Yes,27,141.2,96.0,24.0,167.7,94.0,14.25,101.0,12.35,11.4,2,3.08,1.0,False,36.35
NC,73,415,No,Yes,31,194.4,104.0,33.05,176.0,84.0,14.96,110.0,10.35,11.5,3,3.11,0.0,False,43.4
NE,112,415,No,No,0,167.6,100.0,28.49,154.5,90.0,13.13,107.0,12.66,17.3,3,4.67,2.0,False,41.15
IL,179,408,No,No,0,234.5,134.0,39.87,164.2,94.0,13.96,72.0,8.61,6.1,4,1.65,1.0,False,48.48
MA,57,510,No,No,0,154.2,78.0,26.21,196.7,85.0,16.72,97.0,11.41,10.1,9,2.73,1.0,False,37.620000000000005
AZ,127,415,No,Yes,14,143.2,99.0,24.34,169.9,91.0,14.44,77.0,9.97,11.6,1,3.13,1.0,False,34.31
SD,122,415,Yes,Yes,40,216.4,80.0,36.79,249.7,90.0,21.22,99.0,8.37,12.7,4,3.43,1.0,False,45.16
MT,33,510,No,Yes,35,161.9,85.0,27.52,151.2,82.0,12.85,131.0,8.59,8.5,2,2.3,1.0,False,36.11
VT,94,408,No,No,0,118.7,90.0,20.18,205.1,57.0,17.43,100.0,7.75,10.4,6,2.81,3.0,False,27.93
UT,100,408,No,No,0,179.1,123.0,30.45,196.6,132.0,16.71,116.0,8.4,10.2,10,2.75,1.0,False,38.85
HI,106,415,No,No,0,147.9,97.0,25.14,209.3,99.0,17.79,80.0,7.29,8.8,5,2.38,2.0,False,32.43
DC,148,415,No,Yes,38,209.2,110.0,35.56,116.6,73.0,9.91,105.0,4.93,16.5,4,4.46,2.0,False,40.49
WI,120,415,No,Yes,29,244.3,140.0,41.53,322.3,89.0,27.4,83.0,7.51,10.6,6,2.86,0.0,False,49.04
UT,91,415,No,Yes,34,175.3,96.0,29.8,262.3,122.0,22.3,76.0,6.48,5.6,11,1.51,1.0,False,36.28
WA,86,510,No,No,0,150.5,92.0,25.59,120.3,95.0,10.23,96.0,12.2,9.0,2,2.43,1.0,False,37.79
SD,78,415,No,Yes,25,197.4,73.0,33.56,295.7,113.0,25.13,73.0,9.53,13.2,2,3.56,0.0,False,43.09
MT,94,510,No,No,0,163.5,136.0,27.8,143.7,111.0,12.21,82.0,11.4,12.6,5,3.4,1.0,False,39.2
NJ,85,415,No,No,0,236.9,93.0,40.27,197.7,113.0,16.8,78.0,13.91,11.4,7,3.08,2.0,True,54.18000000000001
CT,89,415,No,No,0,82.3,77.0,13.99,167.2,80.0,14.21,70.0,8.76,7.2,4,1.94,1.0,False,22.75
VA,128,415,No,No,0,216.0,111.0,36.72,153.7,115.0,13.06,74.0,10.22,12.7,4,3.43,1.0,False,46.94
NC,115,415,Yes,No,0,180.0,119.0,30.6,198.8,126.0,16.9,70.0,9.77,12.4,3,3.35,1.0,False,40.370000000000005
AK,76,415,No,No,0,143.7,55.0,24.43,173.1,108.0,14.71,95.0,10.76,5.8,6,1.57,1.0,False,35.19
MD,75,415,No,Yes,39,198.2,107.0,33.69,280.4,132.0,23.83,73.0,5.83,11.3,7,3.05,1.0,False,39.519999999999996
IL,90,415,No,Yes,29,185.6,106.0,31.55,219.7,113.0,18.67,120.0,6.84,11.1,5,3.0,2.0,False,38.39
CT,30,408,No,No,0,137.6,108.0,23.39,162.0,80.0,13.77,126.0,8.45,5.8,10,1.57,3.0,False,31.84
KS,105,415,Yes,No,0,273.9,119.0,46.56,278.6,103.0,23.68,90.0,11.49,10.9,7,2.94,1.0,True,58.050000000000004
MA,102,415,No,Yes,31,125.3,92.0,21.3,141.2,108.0,12.0,68.0,7.57,6.3,2,1.7,3.0,False,28.87
NJ,83,415,No,No,0,178.8,102.0,30.4,167.9,84.0,14.27,65.0,8.05,8.6,4,2.32,3.0,False,38.45
AR,63,510,No,Yes,49,214.9,86.0,36.53,198.2,89.0,16.85,139.0,7.69,8.2,5,2.21,0.0,False,44.22
MS,155,408,No,No,0,163.0,93.0,27.71,203.9,102.0,17.33,109.0,7.15,15.1,4,4.08,2.0,False,34.86
ND,82,415,No,Yes,29,163.8,77.0,27.85,134.9,112.0,11.47,95.0,3.57,8.8,2,2.38,2.0,False,31.42
IN,87,510,No,No,0,189.5,113.0,32.22,204.9,100.0,17.42,93.0,9.98,13.4,3,3.62,1.0,False,42.2
MI,115,415,No,Yes,26,155.2,110.0,26.38,230.9,133.0,19.63,100.0,11.77,4.5,4,1.22,0.0,False,38.15
AR,99,510,Yes,No,0,242.3,102.0,41.19,350.9,102.0,29.83,93.0,7.34,11.3,3,3.05,0.0,True,48.53
VT,121,415,Yes,Yes,44,254.1,127.0,43.2,180.2,108.0,15.32,129.0,8.83,8.7,4,2.35,3.0,False,52.03
WV,54,510,No,Yes,33,112.0,90.0,19.04,208.0,112.0,17.68,83.0,6.76,11.3,4,3.05,2.0,False,25.799999999999997
ME,105,408,No,No,0,115.5,73.0,19.64,267.3,83.0,22.72,90.0,5.14,13.3,5,3.59,3.0,False,24.78
IA,73,415,No,No,0,137.1,102.0,23.31,210.8,114.0,17.92,120.0,8.61,11.1,4,3.0,1.0,False,31.919999999999998
CT,95,415,No,No,0,198.4,113.0,33.73,235.9,144.0,20.05,99.0,14.65,10.1,3,2.73,0.0,False,48.379999999999995
NM,21,415,No,Yes,19,132.7,94.0,22.56,204.6,101.0,17.39,78.0,6.96,12.9,7,3.48,3.0,False,29.52
OR,163,408,No,Yes,25,219.6,99.0,37.33,210.4,99.0,17.88,88.0,10.92,13.8,8,3.73,2.0,False,48.25
VT,57,415,No,No,0,169.6,96.0,28.83,234.7,112.0,19.95,83.0,12.84,11.2,4,3.02,0.0,False,41.67
RI,104,408,Yes,No,0,160.4,73.0,27.27,293.9,103.0,24.98,90.0,13.8,12.6,5,3.4,4.0,False,41.07
RI,83,415,No,Yes,20,95.0,89.0,16.15,167.9,92.0,14.27,79.0,9.03,11.2,2,3.02,0.0,False,25.18
NM,141,415,No,No,0,160.1,87.0,27.22,256.7,120.0,21.82,107.0,12.15,7.0,1,1.89,2.0,False,39.37
AL,95,415,No,No,0,194.6,114.0,33.08,232.8,106.0,19.79,92.0,7.8,3.8,2,1.03,3.0,False,40.879999999999995
MT,184,415,No,No,0,236.4,73.0,40.19,287.3,120.0,24.42,94.0,8.64,13.8,4,3.73,1.0,True,48.83
CT,74,408,No,No,0,157.1,95.0,26.71,213.1,36.0,18.11,77.0,12.62,7.6,3,2.05,2.0,False,39.33
TN,67,415,No,No,0,179.8,125.0,30.57,173.2,86.0,14.72,97.0,12.28,10.9,4,2.94,0.0,False,42.85
ID,104,415,Yes,No,0,148.2,108.0,25.19,161.8,113.0,13.75,103.0,11.67,11.0,4,2.97,0.0,False,36.86
TX,71,415,No,Yes,39,183.2,103.0,31.14,209.4,111.0,17.8,109.0,7.76,11.9,6,3.21,1.0,False,38.9
NH,149,415,No,No,0,119.2,88.0,20.26,168.3,110.0,14.31,119.0,9.21,12.2,6,3.29,4.0,True,29.470000000000002
ND,154,408,No,Yes,35,224.0,102.0,38.08,192.0,99.0,16.32,100.0,7.34,9.6,2,2.59,0.0,False,45.42
SC,138,510,No,Yes,21,19.5,149.0,3.32,140.9,109.0,11.98,111.0,8.09,7.9,1,2.13,0.0,False,11.41
KS,117,415,No,No,0,184.8,83.0,31.42,248.6,101.0,21.13,113.0,5.99,9.6,8,2.59,1.0,False,37.410000000000004
ME,130,408,No,No,0,176.3,140.0,29.97,201.0,104.0,17.09,123.0,7.29,11.3,5,3.05,1.0,False,37.26
RI,73,415,No,No,0,241.7,115.0,41.09,168.5,133.0,14.32,122.0,7.64,11.1,2,3.0,2.0,False,48.730000000000004
WI,100,510,No,Yes,38,224.7,121.0,38.2,294.0,131.0,24.99,61.0,13.05,9.8,6,2.65,0.0,False,51.25
NC,149,510,No,No,0,207.3,115.0,35.24,198.4,82.0,16.86,83.0,5.13,8.6,4,2.32,1.0,False,40.370000000000005
OH,29,408,No,No,0,196.8,81.0,33.46,168.0,110.0,14.28,98.0,5.97,12.7,7,3.43,2.0,False,39.43
WY,131,510,No,No,0,110.9,74.0,18.85,115.6,90.0,9.83,114.0,8.57,15.8,9,4.27,1.0,False,27.42
NJ,153,510,No,No,0,122.5,145.0,20.83,273.3,103.0,23.23,71.0,8.9,8.0,3,2.16,2.0,False,29.729999999999997
ND,84,510,No,No,0,226.9,144.0,38.57,201.6,122.0,17.14,121.0,5.86,13.2,5,3.56,2.0,False,44.43
WI,133,510,No,No,0,187.0,65.0,31.79,141.4,128.0,12.02,108.0,10.72,10.0,8,2.7,2.0,False,42.51
KY,112,415,No,No,0,170.5,113.0,28.99,193.2,129.0,16.42,91.0,8.46,11.2,6,3.02,0.0,False,37.45
NY,87,415,No,No,0,204.8,101.0,34.82,161.0,80.0,13.69,89.0,12.86,9.5,3,2.57,0.0,False,47.68
MO,72,415,No,No,0,165.9,114.0,28.2,235.9,97.0,20.05,120.0,9.45,12.0,5,3.24,2.0,False,37.65
AZ,66,510,No,No,0,154.0,133.0,26.18,198.9,121.0,16.91,100.0,6.84,9.5,3,2.57,4.0,True,33.019999999999996
MN,65,510,No,Yes,29,158.1,104.0,26.88,322.2,81.0,27.39,96.0,9.45,8.9,6,2.4,1.0,False,36.33
CO,74,415,No,No,0,225.2,93.0,38.28,215.1,120.0,18.28,95.0,10.88,9.1,2,2.46,2.0,False,49.160000000000004
MD,116,408,No,No,0,159.4,79.0,27.1,179.5,88.0,15.26,71.0,7.55,9.7,2,2.62,6.0,True,34.65
AR,68,510,No,No,0,172.7,95.0,29.36,139.1,90.0,11.82,99.0,7.84,11.7,1,3.16,2.0,False,37.2
TN,68,415,No,No,0,222.8,99.0,37.88,175.8,85.0,14.94,111.0,9.09,11.0,3,2.97,3.0,False,46.97
DE,54,415,Yes,No,0,214.1,77.0,36.4,240.5,94.0,20.44,75.0,8.5,10.1,3,2.73,1.0,False,44.9
TN,99,408,No,No,0,54.8,92.0,9.32,173.0,103.0,14.71,125.0,8.78,7.5,3,2.03,1.0,False,18.1
WI,107,408,No,No,0,134.0,104.0,22.78,174.5,94.0,14.83,79.0,14.0,7.3,3,1.97,3.0,False,36.78
WV,124,510,No,No,0,184.8,74.0,31.42,175.1,84.0,14.88,95.0,7.12,10.5,6,2.84,1.0,False,38.54
CT,95,415,No,Yes,36,283.1,112.0,48.13,286.2,86.0,24.33,129.0,11.78,11.3,3,3.05,3.0,False,59.910000000000004
MN,173,510,No,No,0,291.8,143.0,49.61,214.3,134.0,18.22,119.0,6.8,9.9,2,2.67,0.0,True,56.41
MO,110,408,No,No,0,222.7,94.0,37.86,105.8,98.0,8.99,78.0,9.67,13.5,4,3.65,1.0,False,47.53
VA,102,510,No,No,0,174.5,79.0,29.67,236.8,136.0,20.13,110.0,12.17,8.5,5,2.3,0.0,False,41.84
NH,130,408,No,No,0,68.4,86.0,11.63,193.3,110.0,16.43,139.0,7.72,10.4,4,2.81,0.0,False,19.35
OK,91,408,No,Yes,31,273.0,78.0,46.41,215.5,98.0,18.32,114.0,4.71,9.6,2,2.59,1.0,False,51.12
CT,64,415,Yes,No,0,225.3,134.0,38.3,108.2,87.0,9.2,132.0,6.28,17.3,9,4.67,1.0,True,44.58
TN,176,415,No,Yes,23,283.2,130.0,48.14,162.6,74.0,13.82,104.0,8.0,7.2,6,1.94,1.0,False,56.14
MD,93,510,Yes,No,0,131.4,78.0,22.34,219.7,106.0,18.67,103.0,7.01,11.1,2,3.0,1.0,True,29.35
WI,84,510,No,Yes,12,89.7,87.0,15.25,138.6,73.0,11.78,114.0,7.46,10.7,2,2.89,1.0,False,22.71
SD,138,510,No,No,0,127.1,102.0,21.61,247.7,106.0,21.05,75.0,9.35,5.0,3,1.35,3.0,False,30.96
ND,101,415,No,Yes,28,105.9,132.0,18.0,231.7,107.0,19.69,120.0,12.66,10.7,5,2.89,1.0,False,30.66
VA,136,408,No,No,0,142.3,79.0,24.19,158.0,113.0,13.43,75.0,7.99,6.0,11,1.62,2.0,False,32.18
UT,111,510,No,No,0,191.3,80.0,32.52,138.5,94.0,11.77,107.0,11.07,6.4,3,1.73,2.0,False,43.59
MA,132,408,No,Yes,36,201.9,93.0,34.32,156.3,75.0,13.29,92.0,5.91,13.7,5,3.7,0.0,False,40.230000000000004
SD,128,415,No,No,0,247.3,91.0,42.04,182.7,60.0,15.53,112.0,6.44,14.7,2,3.97,3.0,False,48.48
AL,92,408,No,Yes,38,242.2,96.0,41.17,159.7,144.0,13.57,108.0,9.45,8.9,1,2.4,1.0,False,50.620000000000005
AL,197,415,Yes,No,0,127.3,80.0,21.64,222.3,115.0,18.9,95.0,7.83,13.7,5,3.7,5.0,True,29.47
WV,191,408,No,No,0,162.0,104.0,27.54,241.2,120.0,20.5,83.0,9.47,10.9,7,2.94,1.0,False,37.01
SC,99,415,No,Yes,33,179.1,93.0,30.45,238.3,102.0,20.26,96.0,7.46,10.6,1,2.86,2.0,False,37.91
FL,106,415,No,Yes,31,197.4,125.0,33.56,123.4,110.0,10.49,101.0,5.2,12.3,4,3.32,3.0,False,38.760000000000005
KY,88,415,No,No,0,148.2,82.0,25.19,308.7,67.0,26.24,79.0,10.59,6.4,4,1.73,2.0,False,35.78
UT,78,415,No,No,0,193.1,85.0,32.83,172.1,105.0,14.63,119.0,5.83,10.2,1,2.75,0.0,False,38.66
NY,98,408,No,No,0,171.7,99.0,29.19,174.8,87.0,14.86,130.0,8.53,7.8,6,2.11,1.0,False,37.72
MS,17,408,No,Yes,35,198.5,123.0,33.75,270.6,74.0,23.0,130.0,9.45,8.1,10,2.19,1.0,False,43.2
NH,56,415,No,Yes,24,121.7,87.0,20.69,184.0,76.0,15.64,98.0,12.0,12.7,3,3.43,1.0,False,32.69
VA,84,415,No,No,0,130.2,105.0,22.13,278.0,60.0,23.63,74.0,13.74,14.0,6,3.78,2.0,False,35.87
VT,95,510,No,No,0,203.4,96.0,34.58,168.6,61.0,14.33,105.0,7.79,13.7,3,3.7,2.0,False,42.37
WY,16,415,No,No,0,174.7,83.0,29.7,280.8,122.0,23.87,80.0,7.73,10.5,8,2.84,5.0,False,37.43
NV,76,510,Yes,No,0,241.0,120.0,40.97,231.8,96.0,19.7,67.0,9.91,9.9,1,2.67,1.0,True,50.879999999999995
WV,93,415,No,No,0,141.7,95.0,24.09,221.0,100.0,18.79,71.0,10.22,10.2,3,2.75,0.0,False,34.31
WA,83,408,No,No,0,134.8,96.0,22.92,167.2,78.0,14.21,123.0,7.27,7.7,5,2.08,2.0,False,30.19
KS,123,415,No,No,0,163.1,119.0,27.73,249.4,51.0,21.2,77.0,7.57,9.0,10,2.43,1.0,False,35.3
VT,64,408,No,No,0,145.5,116.0,24.74,228.4,110.0,19.41,91.0,12.3,8.9,8,2.4,1.0,False,37.04
OK,82,510,No,No,0,329.8,73.0,56.07,208.3,120.0,17.71,102.0,12.02,10.6,6,2.86,0.0,True,68.09
GA,107,510,No,No,0,194.5,97.0,33.07,186.3,131.0,15.84,106.0,8.02,12.7,1,3.43,2.0,False,41.09
CO,110,510,No,No,0,131.9,93.0,22.42,272.7,106.0,23.18,105.0,8.68,7.1,4,1.92,1.0,False,31.1
AK,96,408,No,Yes,29,150.0,91.0,25.5,159.4,75.0,13.55,55.0,10.26,8.5,3,2.3,1.0,False,35.76
TN,47,415,No,Yes,30,196.6,93.0,33.42,241.4,140.0,20.52,118.0,10.17,12.9,4,3.48,2.0,False,43.59
KY,115,510,No,No,0,99.7,107.0,16.95,145.1,96.0,12.33,99.0,6.72,14.1,4,3.81,2.0,False,23.669999999999998
PA,69,415,No,No,0,143.6,88.0,24.41,141.8,86.0,12.05,83.0,8.73,10.8,5,2.92,3.0,False,33.14
CT,163,408,No,Yes,40,231.9,56.0,39.42,211.8,91.0,18.0,74.0,12.08,12.3,3,3.32,2.0,False,51.5
CT,90,415,No,No,0,37.8,80.0,6.43,155.3,105.0,13.2,111.0,7.88,14.2,5,3.83,3.0,False,14.309999999999999
MN,98,415,No,No,0,72.8,107.0,12.38,186.4,103.0,15.84,110.0,7.89,10.5,4,2.84,3.0,False,20.27
WY,90,408,No,Yes,39,94.8,89.0,16.12,219.1,91.0,18.62,65.0,8.88,11.4,5,3.08,1.0,False,25.0
PA,174,415,No,Yes,15,221.8,143.0,37.71,210.6,115.0,17.9,109.0,9.98,12.4,9,3.35,1.0,False,47.69
OR,95,415,No,No,0,269.0,120.0,45.73,233.7,120.0,19.86,61.0,8.07,7.3,4,1.97,2.0,True,53.8
PA,79,415,No,No,0,268.3,114.0,45.61,185.5,111.0,15.77,88.0,11.91,6.3,7,1.7,1.0,True,57.519999999999996
OK,123,415,No,Yes,27,198.7,127.0,33.78,249.0,105.0,21.17,124.0,7.79,12.5,5,3.38,1.0,False,41.57
VT,99,415,No,No,0,115.5,75.0,19.64,218.1,111.0,18.54,98.0,11.47,11.5,7,3.11,7.0,True,31.11
ID,114,415,No,No,0,202.1,100.0,34.36,195.7,102.0,16.63,120.0,13.13,13.3,5,3.59,2.0,False,47.49
PA,141,510,No,No,0,215.6,113.0,36.65,200.6,81.0,17.05,107.0,6.92,12.4,6,3.35,1.0,False,43.57
NM,132,408,No,No,0,169.9,107.0,28.88,209.4,121.0,17.8,79.0,9.27,11.5,2,3.11,1.0,False,38.15
FL,133,510,No,No,0,201.7,85.0,34.29,169.4,116.0,14.4,80.0,12.88,6.0,4,1.62,0.0,False,47.17
TX,133,408,No,No,0,221.1,133.0,37.59,160.2,140.0,13.62,84.0,7.28,8.4,3,2.27,4.0,False,44.870000000000005
VT,93,510,No,Yes,32,218.7,117.0,37.18,115.0,61.0,9.78,85.0,8.67,9.4,5,2.54,2.0,False,45.85
MA,34,415,No,No,0,293.7,89.0,49.93,272.5,71.0,23.16,76.0,8.02,11.0,10,2.97,2.0,True,57.95
OR,140,415,No,No,0,120.3,108.0,20.45,240.4,84.0,20.43,74.0,9.74,7.7,3,2.08,4.0,True,30.189999999999998
DE,96,415,No,Yes,26,175.8,96.0,29.89,206.6,84.0,17.56,105.0,8.01,11.1,2,3.0,2.0,False,37.9
FL,144,510,No,No,0,278.5,95.0,47.35,240.7,90.0,20.46,90.0,5.4,11.6,5,3.13,1.0,True,52.75
ID,24,408,No,Yes,29,236.3,105.0,40.17,190.8,114.0,16.22,105.0,5.81,7.2,2,1.94,3.0,False,45.980000000000004
MD,54,415,No,No,0,273.8,113.0,46.55,119.6,156.0,10.17,117.0,12.04,11.7,3,3.16,1.0,False,58.589999999999996
WV,50,408,No,No,0,131.1,129.0,22.29,160.5,94.0,13.64,88.0,9.31,5.6,9,1.51,5.0,True,31.6
ID,92,415,No,Yes,23,167.4,83.0,28.46,258.6,129.0,21.98,110.0,5.24,11.2,3,3.02,4.0,False,33.7
NV,96,408,No,No,0,197.7,68.0,33.61,250.5,53.0,21.29,67.0,8.15,10.5,3,2.84,3.0,False,41.76
OH,146,415,No,No,0,169.5,93.0,28.82,230.9,71.0,19.63,115.0,12.14,9.0,7,2.43,2.0,False,40.96
ID,138,415,Yes,Yes,17,225.2,116.0,38.28,173.4,88.0,14.74,99.0,6.56,11.7,4,3.16,0.0,False,44.84
SC,102,408,No,No,0,174.5,73.0,29.67,213.7,114.0,18.16,116.0,7.41,10.3,5,2.78,4.0,False,37.08
MO,76,510,No,No,0,129.7,84.0,22.05,177.5,80.0,15.09,87.0,10.3,7.5,3,2.03,5.0,True,32.35
NE,99,415,No,No,0,200.0,66.0,34.0,107.9,104.0,9.17,82.0,10.52,11.4,2,3.08,3.0,False,44.519999999999996
NC,83,510,No,Yes,36,95.9,87.0,16.3,261.6,105.0,22.24,109.0,10.29,13.3,4,3.59,0.0,False,26.59
ME,36,510,No,Yes,25,152.8,110.0,25.98,242.8,67.0,20.64,74.0,6.63,9.1,2,2.46,1.0,False,32.61
MI,70,510,No,No,0,129.9,102.0,22.08,208.7,133.0,17.74,93.0,10.41,14.3,3,3.86,1.0,False,32.489999999999995
AZ,109,415,Yes,No,0,268.4,85.0,45.63,150.6,131.0,12.8,84.0,13.41,9.7,8,2.62,2.0,True,59.040000000000006
AZ,100,415,No,No,0,188.5,152.0,32.05,148.3,115.0,12.61,88.0,8.09,15.2,5,4.1,2.0,False,40.14
